Country,Average monthly net salary,Mortage interest rate (%),Meal,McMeal,Softdrink,Milk,Whitebread,Rice,Eggs,Chickenfillet,Beefrounds,Apples,Potatoes,Lettuce,Taxi,Gasoline,Livingbills,Internet,Gymmembership,Annualtuition,rent_in,rent_out,Apt Center,Apt Outside,out_monthly_approx_spend,in_monthly_approx_spend
Afghanistan,195.86,13.88,1.69,3.11,0.23,0.6,0.23,1.23,1.2,2.53,5.39,0.73,0.3,0.23,0.56,0.89,31.99,715.63,13.56,1491.53,108.92,64.97,694.92,355.93,978.8447333333334,1022.7947333333333
Albania,400.41857142857145,4.898571428571429,4.3757142857142854,4.0,1.1542857142857144,1.1842857142857142,0.6057142857142858,1.2385714285714287,2.0628571428571427,4.72,8.094285714285714,0.8842857142857143,0.61,0.62,1.9728571428571429,1.75,85.93285714285715,15.987142857142857,27.557142857142857,2146.792857142857,229.71428571428572,136.46857142857144,1032.2585714285715,562.7514285714286,552.6530285714286,645.8987428571428
Algeria,249.163,5.965,1.989,3.434,0.46399999999999997,0.7190000000000001,0.166,0.9890000000000001,1.326,3.8590000000000004,11.025,2.018,0.545,0.504,0.506,0.28300000000000003,40.049,33.0,14.928999999999998,1376.5610000000001,164.381,98.519,960.028,563.453,439.23134666666664,505.09334666666666
Andorra,2509.67,2.5,14.23,8.43,1.92,0.95,1.05,2.11,2.53,10.54,8.43,1.84,1.05,1.05,1.22,1.39,76.19,40.39,46.89,8640.71,784.48,645.42,4425.73,3371.98,1167.9356666666665,1306.9956666666667
Angola,1428.77,25.0,7.84,10.51,1.95,2.49,2.58,1.54,3.68,8.61,16.6,4.5,2.5,1.18,1.67,0.33,30.78,192.23,40.05,2705.62,220.39,80.85,5421.61,3448.79,869.1124,1008.6524
Argentina,408.46500000000003,44.867000000000004,6.136,5.6659999999999995,1.0859999999999999,0.759,1.092,0.9400000000000001,1.431,3.9450000000000003,6.662999999999999,1.581,0.712,0.99,0.826,0.942,51.428999999999995,21.479,21.026,3921.653,243.79899999999998,180.365,2394.101,1728.409,478.02835999999996,541.46236
Armenia,417.365,12.2,6.3149999999999995,6.005000000000001,0.83,1.1749999999999998,0.5,2.06,2.0,5.699999999999999,9.09,1.2,0.665,0.59,0.25,1.215,94.01,17.6,48.735,6898.92,627.415,428.635,1385.93,686.345,803.9816666666666,1002.7616666666667
Aruba,1509.46,7.12,12.0,8.5,1.69,1.87,2.54,2.48,3.6,10.07,13.32,5.24,2.16,2.87,2.77,1.25,190.43,68.0,71.64,10737.4,770.54,630.32,3198.84,47896.3,1425.0078666666668,1565.2278666666666
Australia,3711.7621052631575,3.555789473684211,14.527894736842104,8.981052631578947,2.4121052631578945,1.1810526315789474,2.008421052631579,1.7926315789473686,3.4247368421052626,7.613684210526316,15.231052631578947,3.082105263157895,2.115789473684211,2.3273684210526313,1.3942105263157893,1.3505263157894738,155.22526315789472,51.94736842105263,46.35631578947368,12601.505789473684,1113.1236842105263,865.1131578947369,5291.232631578947,3867.9210526315787,1502.0010596491227,1750.0115859649125
Austria,2296.81625,1.99875,14.6875,9.19125,3.04125,1.3125,1.98625,1.87625,3.31625,10.9575,14.8925,2.47125,1.665,1.34375,1.8875000000000002,1.93125,244.5225,35.555,40.7025,10072.5525,823.1225,668.0875,6387.74625,4756.12,1386.6000250000002,1541.635025
Azerbaijan,255.8425,8.8625,5.5125,5.407500000000001,0.46499999999999997,1.1325,0.38249999999999995,1.295,1.205,3.1125,6.5075,0.84,0.5549999999999999,0.485,0.39,0.5974999999999999,45.68,13.9875,27.59,4512.025000000001,168.70250000000001,111.6,857.7075,416.355,366.15451666666667,423.2570166666667
Bahamas,1817.33,6.75,25.0,8.0,2.36,4.62,5.01,4.49,4.97,7.38,13.6,5.15,5.42,2.97,2.86,1.65,261.63,92.61,103.5,11767.5,1050.0,950.0,1904.86,1348.55,1846.0258,1946.0258
Bahrain,2080.33,5.94,5.3,6.63,0.73,1.63,1.36,1.53,2.42,6.84,7.96,1.99,0.75,1.91,2.65,0.51,169.42,47.66,86.94,8587.28,967.04,759.74,1545.05,1293.07,1376.3441333333333,1583.6441333333332
Bangladesh,258.7675,9.0725,1.7175,4.88,0.3275,0.7275,0.505,0.64,1.145,2.4425,6.2425,1.9224999999999999,0.3125,0.415,0.36,0.93,29.535000000000004,23.1425,11.625,1122.6025,81.145,55.885000000000005,632.105,337.14,274.7514,300.0114
Belarus,459.83666666666664,19.84,9.24,4.553333333333334,0.7133333333333333,0.77,0.5966666666666667,1.36,1.4333333333333333,4.166666666666667,6.63,1.2766666666666666,0.7733333333333333,1.1900000000000002,0.3,0.8966666666666666,58.16,12.406666666666666,29.97,8705.373333333333,289.75,192.8133333333333,1148.7366666666667,816.0633333333334,468.5747333333333,565.5114
Belgium,2275.136923076923,1.6523076923076923,16.173076923076923,9.506923076923076,2.5369230769230766,0.9299999999999999,1.7384615384615385,1.883076923076923,2.563076923076923,9.629999999999999,16.084615384615383,2.223076923076923,1.4238461538461538,1.0961538461538463,2.3607692307692307,1.9384615384615385,179.12538461538463,49.75307692307692,28.446923076923078,13368.108461538463,791.2030769230769,651.6715384615384,3434.1030769230765,2693.6876923076925,1370.9104615384615,1510.442
Bermuda,5973.81,6.5,29.0,15.0,3.0,4.24,6.85,6.68,5.16,20.94,23.71,12.94,8.46,5.86,3.0,2.25,271.65,142.0,168.57,24666.67,3250.0,2050.0,10381.96,5690.98,3466.331,4666.331
Bhutan,366.55,10.33,3.08,3.08,0.47,0.83,0.67,0.77,2.1,3.47,4.54,2.95,0.59,0.58,0.15,1.11,34.04,20.5,71.63,799.64,171.76,85.86,2013.95,123.02,351.63326666666666,437.53326666666663
