country,score,gdp,year
United States,7.119,1.39451,2015
Japan,5.987,1.27074,2015
China,5.14,0.89012,2015
India,4.565,0.64499,2015
United States,7.104,1.50796,2016
Japan,5.921,1.38007,2016
China,5.245,1.0278,2016
India,4.404,0.74036,2016
United States,6.99300003051758,1.54625928401947,2017
Japan,5.92000007629395,1.41691517829895,2017
China,5.27299976348877,1.08116579055786,2017
India,4.31500005722046,0.792221248149872,2017
United States,6.886,1.398,2018
Japan,5.915,1.294,2018
China,5.246,0.989,2018
India,4.19,0.721,2018
United States,6.892,1.433,2019
Japan,5.886,1.327,2019
China,5.191,1.029,2019
India,4.015,0.755,2019
